"TIME","GEO","UNIT","ICHA11_HC","ICHA11_HF","Value","Flag and Footnotes"
"2008","Euro area - 19 countries  (from 2015)","Million euro","Current health care expenditure (CHE)","All financing schemes",":",""
"2008","Euro area - 19 countries  (from 2015)","Million euro","Current health care expenditure (CHE)","Government schemes and compulsory contributory health care financing schemes",":",""
"2008","Euro area - 19 countries  (from 2015)","Million euro","Current health care expenditure (CHE)","Government schemes",":",""
"2008","Euro area - 19 countries  (from 2015)","Million euro","Current health care expenditure (CHE)","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",":",""
"2008","Euro area - 19 countries  (from 2015)","Million euro","Current health care expenditure (CHE)","Voluntary health care payment schemes",":",""
"2008","Euro area - 18 countries (2014)","Million euro","Current health care expenditure (CHE)","All financing schemes",":",""
"2008","Euro area - 18 countries (2014)","Million euro","Current health care expenditure (CHE)","Government schemes and compulsory contributory health care financing schemes",":",""
"2008","Euro area - 18 countries (2014)","Million euro","Current health care expenditure (CHE)","Government schemes",":",""
"2008","Euro area - 18 countries (2014)","Million euro","Current health care expenditure (CHE)","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",":",""
"2008","Euro area - 18 countries (2014)","Million euro","Current health care expenditure (CHE)","Voluntary health care payment schemes",":",""
"2008","Euro area - 12 countries (2001-2006)","Million euro","Current health care expenditure (CHE)","All financing schemes",":",""
"2008","Euro area - 12 countries (2001-2006)","Million euro","Current health care expenditure (CHE)","Government schemes and compulsory contributory health care financing schemes",":",""
"2008","Euro area - 12 countries (2001-2006)","Million euro","Current health care expenditure (CHE)","Government schemes",":",""
"2008","Euro area - 12 countries (2001-2006)","Million euro","Current health care expenditure (CHE)","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",":",""
"2008","Euro area - 12 countries (2001-2006)","Million euro","Current health care expenditure (CHE)","Voluntary health care payment schemes",":",""
"2008","Belgium","Million euro","Current health care expenditure (CHE)","All financing schemes","33,058.40",""
"2008","Belgium","Million euro","Current health care expenditure (CHE)","Government schemes and compulsory contributory health care financing schemes","25,513.29",""
"2008","Belgium","Million euro","Current health care expenditure (CHE)","Government schemes","3,709.88",""
"2008","Belgium","Million euro","Current health care expenditure (CHE)","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)","21,803.40",""
"2008","Belgium","Million euro","Current health care expenditure (CHE)","Voluntary health care payment schemes","1,452.22",""
"2008","Bulgaria","Million euro","Current health care expenditure (CHE)","All financing schemes",":",""
"2008","Bulgaria","Million euro","Current health care expenditure (CHE)","Government schemes and compulsory contributory health care financing schemes",":",""
"2008","Bulgaria","Million euro","Current health care expenditure (CHE)","Government schemes",":",""
"2008","Bulgaria","Million euro","Current health care expenditure (CHE)","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",":",""
"2008","Bulgaria","Million euro","Current health care expenditure (CHE)","Voluntary health care payment schemes",":",""
"2008","Czechia","Million euro","Current health care expenditure (CHE)","All financing schemes",":",""
"2008","Czechia","Million euro","Current health care expenditure (CHE)","Government schemes and compulsory contributory health care financing schemes",":",""
"2008","Czechia","Million euro","Current health care expenditure (CHE)","Government schemes",":",""
"2008","Czechia","Million euro","Current health care expenditure (CHE)","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",":",""
"2008","Czechia","Million euro","Current health care expenditure (CHE)","Voluntary health care payment schemes",":",""
"2008","Denmark","Million euro","Current health care expenditure (CHE)","All financing schemes",":",""
"2008","Denmark","Million euro","Current health care expenditure (CHE)","Government schemes and compulsory contributory health care financing schemes",":",""
"2008","Denmark","Million euro","Current health care expenditure (CHE)","Government schemes",":",""
"2008","Denmark","Million euro","Current health care expenditure (CHE)","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",":",""
"2008","Denmark","Million euro","Current health care expenditure (CHE)","Voluntary health care payment schemes",":",""
"2008","Germany (until 1990 former territory of the FRG)","Million euro","Current health care expenditure (CHE)","All financing schemes","260,206.00",""
"2008","Germany (until 1990 former territory of the FRG)","Million euro","Current health care expenditure (CHE)","Government schemes and compulsory contributory health care financing schemes","195,868.00",""
"2008","Germany (until 1990 former territory of the FRG)","Million euro","Current health care expenditure (CHE)","Government schemes","18,202.00",""
"2008","Germany (until 1990 former territory of the FRG)","Million euro","Current health care expenditure (CHE)","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)","177,666.00",""
"2008","Germany (until 1990 former territory of the FRG)","Million euro","Current health care expenditure (CHE)","Voluntary health care payment schemes","27,911.00",""
"2008","Estonia","Million euro","Current health care expenditure (CHE)","All financing schemes","950.11",""
"2008","Estonia","Million euro","Current health care expenditure (CHE)","Government schemes and compulsory contributory health care financing schemes","731.41",""
"2008","Estonia","Million euro","Current health care expenditure (CHE)","Government schemes","103.56",""
"2008","Estonia","Million euro","Current health care expenditure (CHE)","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)","627.85",""
"2008","Estonia","Million euro","Current health care expenditure (CHE)","Voluntary health care payment schemes","21.83",""
"2008","Ireland","Million euro","Current health care expenditure (CHE)","All financing schemes",":",""
"2008","Ireland","Million euro","Current health care expenditure (CHE)","Government schemes and compulsory contributory health care financing schemes",":",""
"2008","Ireland","Million euro","Current health care expenditure (CHE)","Government schemes",":",""
"2008","Ireland","Million euro","Current health care expenditure (CHE)","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",":",""
"2008","Ireland","Million euro","Current health care expenditure (CHE)","Voluntary health care payment schemes",":",""
"2008","Greece","Million euro","Current health care expenditure (CHE)","All financing schemes",":",""
"2008","Greece","Million euro","Current health care expenditure (CHE)","Government schemes and compulsory contributory health care financing schemes",":",""
"2008","Greece","Million euro","Current health care expenditure (CHE)","Government schemes",":",""
"2008","Greece","Million euro","Current health care expenditure (CHE)","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",":",""
"2008","Greece","Million euro","Current health care expenditure (CHE)","Voluntary health care payment schemes",":",""
"2008","Spain","Million euro","Current health care expenditure (CHE)","All financing schemes","92,520.53",""
"2008","Spain","Million euro","Current health care expenditure (CHE)","Government schemes and compulsory contributory health care financing schemes","68,127.47",""
"2008","Spain","Million euro","Current health care expenditure (CHE)","Government schemes","64,042.08",""
"2008","Spain","Million euro","Current health care expenditure (CHE)","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)","4,085.39",""
"2008","Spain","Million euro","Current health care expenditure (CHE)","Voluntary health care payment schemes","4,948.99",""
"2008","France","Million euro","Current health care expenditure (CHE)","All financing schemes","209,471.31",""
"2008","France","Million euro","Current health care expenditure (CHE)","Government schemes and compulsory contributory health care financing schemes","160,392.08",""
"2008","France","Million euro","Current health care expenditure (CHE)","Government schemes","9,671.81",""
"2008","France","Million euro","Current health care expenditure (CHE)","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)","150,720.23",""
"2008","France","Million euro","Current health care expenditure (CHE)","Voluntary health care payment schemes","28,148.04",""
"2008","Croatia","Million euro","Current health care expenditure (CHE)","All financing schemes",":",""
"2008","Croatia","Million euro","Current health care expenditure (CHE)","Government schemes and compulsory contributory health care financing schemes",":",""
"2008","Croatia","Million euro","Current health care expenditure (CHE)","Government schemes",":",""
"2008","Croatia","Million euro","Current health care expenditure (CHE)","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",":",""
"2008","Croatia","Million euro","Current health care expenditure (CHE)","Voluntary health care payment schemes",":",""
"2008","Italy","Million euro","Current health care expenditure (CHE)","All financing schemes",":",""
"2008","Italy","Million euro","Current health care expenditure (CHE)","Government schemes and compulsory contributory health care financing schemes",":",""
"2008","Italy","Million euro","Current health care expenditure (CHE)","Government schemes",":",""
"2008","Italy","Million euro","Current health care expenditure (CHE)","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",":",""
"2008","Italy","Million euro","Current health care expenditure (CHE)","Voluntary health care payment schemes",":",""
"2008","Cyprus","Million euro","Current health care expenditure (CHE)","All financing schemes",":",""
"2008","Cyprus","Million euro","Current health care expenditure (CHE)","Government schemes and compulsory contributory health care financing schemes",":",""
"2008","Cyprus","Million euro","Current health care expenditure (CHE)","Government schemes",":",""
"2008","Cyprus","Million euro","Current health care expenditure (CHE)","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",":",""
"2008","Cyprus","Million euro","Current health care expenditure (CHE)","Voluntary health care payment schemes",":",""
"2008","Latvia","Million euro","Current health care expenditure (CHE)","All financing schemes",":",""
"2008","Latvia","Million euro","Current health care expenditure (CHE)","Government schemes and compulsory contributory health care financing schemes",":",""
"2008","Latvia","Million euro","Current health care expenditure (CHE)","Government schemes",":",""
"2008","Latvia","Million euro","Current health care expenditure (CHE)","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",":",""
"2008","Latvia","Million euro","Current health care expenditure (CHE)","Voluntary health care payment schemes",":",""
"2008","Lithuania","Million euro","Current health care expenditure (CHE)","All financing schemes","2,055.75",""
"2008","Lithuania","Million euro","Current health care expenditure (CHE)","Government schemes and compulsory contributory health care financing schemes","1,464.46",""
"2008","Lithuania","Million euro","Current health care expenditure (CHE)","Government schemes","213.28",""
"2008","Lithuania","Million euro","Current health care expenditure (CHE)","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)","1,251.18",""
"2008","Lithuania","Million euro","Current health care expenditure (CHE)","Voluntary health care payment schemes","12.03",""
"2008","Luxembourg","Million euro","Current health care expenditure (CHE)","All financing schemes",":",""
"2008","Luxembourg","Million euro","Current health care expenditure (CHE)","Government schemes and compulsory contributory health care financing schemes",":",""
"2008","Luxembourg","Million euro","Current health care expenditure (CHE)","Government schemes",":",""
"2008","Luxembourg","Million euro","Current health care expenditure (CHE)","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",":",""
"2008","Luxembourg","Million euro","Current health care expenditure (CHE)","Voluntary health care payment schemes",":",""
"2008","Hungary","Million euro","Current health care expenditure (CHE)","All financing schemes","7,679.95",""
"2008","Hungary","Million euro","Current health care expenditure (CHE)","Government schemes and compulsory contributory health care financing schemes","5,291.72",""
"2008","Hungary","Million euro","Current health care expenditure (CHE)","Government schemes","743.93",""
"2008","Hungary","Million euro","Current health care expenditure (CHE)","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)","4,547.79",""
"2008","Hungary","Million euro","Current health care expenditure (CHE)","Voluntary health care payment schemes","364.62",""
"2008","Malta","Million euro","Current health care expenditure (CHE)","All financing schemes",":",""
"2008","Malta","Million euro","Current health care expenditure (CHE)","Government schemes and compulsory contributory health care financing schemes",":",""
"2008","Malta","Million euro","Current health care expenditure (CHE)","Government schemes",":",""
"2008","Malta","Million euro","Current health care expenditure (CHE)","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",":",""
"2008","Malta","Million euro","Current health care expenditure (CHE)","Voluntary health care payment schemes",":",""
"2008","Netherlands","Million euro","Current health care expenditure (CHE)","All financing schemes","60,038.29",""
"2008","Netherlands","Million euro","Current health care expenditure (CHE)","Government schemes and compulsory contributory health care financing schemes","49,636.76",""
"2008","Netherlands","Million euro","Current health care expenditure (CHE)","Government schemes","3,170.34",""
"2008","Netherlands","Million euro","Current health care expenditure (CHE)","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)","46,466.42",""
"2008","Netherlands","Million euro","Current health care expenditure (CHE)","Voluntary health care payment schemes","4,443.62",""
"2008","Austria","Million euro","Current health care expenditure (CHE)","All financing schemes","28,570.24",""
"2008","Austria","Million euro","Current health care expenditure (CHE)","Government schemes and compulsory contributory health care financing schemes","21,415.95",""
"2008","Austria","Million euro","Current health care expenditure (CHE)","Government schemes","8,586.80",""
"2008","Austria","Million euro","Current health care expenditure (CHE)","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)","12,829.14",""
"2008","Austria","Million euro","Current health care expenditure (CHE)","Voluntary health care payment schemes","1,941.96",""
"2008","Poland","Million euro","Current health care expenditure (CHE)","All financing schemes",":",""
"2008","Poland","Million euro","Current health care expenditure (CHE)","Government schemes and compulsory contributory health care financing schemes",":",""
"2008","Poland","Million euro","Current health care expenditure (CHE)","Government schemes",":",""
"2008","Poland","Million euro","Current health care expenditure (CHE)","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",":",""
"2008","Poland","Million euro","Current health care expenditure (CHE)","Voluntary health care payment schemes",":",""
"2008","Portugal","Million euro","Current health care expenditure (CHE)","All financing schemes","16,729.08",""
"2008","Portugal","Million euro","Current health care expenditure (CHE)","Government schemes and compulsory contributory health care financing schemes","11,440.14",""
"2008","Portugal","Million euro","Current health care expenditure (CHE)","Government schemes","11,284.83",""
"2008","Portugal","Million euro","Current health care expenditure (CHE)","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)","155.32",""
"2008","Portugal","Million euro","Current health care expenditure (CHE)","Voluntary health care payment schemes","969.68",""
"2008","Romania","Million euro","Current health care expenditure (CHE)","All financing schemes",":",""
"2008","Romania","Million euro","Current health care expenditure (CHE)","Government schemes and compulsory contributory health care financing schemes",":",""
"2008","Romania","Million euro","Current health care expenditure (CHE)","Government schemes",":",""
"2008","Romania","Million euro","Current health care expenditure (CHE)","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",":",""
"2008","Romania","Million euro","Current health care expenditure (CHE)","Voluntary health care payment schemes",":",""
"2008","Slovenia","Million euro","Current health care expenditure (CHE)","All financing schemes",":",""
"2008","Slovenia","Million euro","Current health care expenditure (CHE)","Government schemes and compulsory contributory health care financing schemes",":",""
"2008","Slovenia","Million euro","Current health care expenditure (CHE)","Government schemes",":",""
"2008","Slovenia","Million euro","Current health care expenditure (CHE)","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",":",""
"2008","Slovenia","Million euro","Current health care expenditure (CHE)","Voluntary health care payment schemes",":",""
"2008","Slovakia","Million euro","Current health care expenditure (CHE)","All financing schemes",":",""
"2008","Slovakia","Million euro","Current health care expenditure (CHE)","Government schemes and compulsory contributory health care financing schemes",":",""
"2008","Slovakia","Million euro","Current health care expenditure (CHE)","Government schemes",":",""
"2008","Slovakia","Million euro","Current health care expenditure (CHE)","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",":",""
"2008","Slovakia","Million euro","Current health care expenditure (CHE)","Voluntary health care payment schemes",":",""
"2008","Finland","Million euro","Current health care expenditure (CHE)","All financing schemes","15,672.75",""
"2008","Finland","Million euro","Current health care expenditure (CHE)","Government schemes and compulsory contributory health care financing schemes","11,953.08",""
"2008","Finland","Million euro","Current health care expenditure (CHE)","Government schemes","9,386.49",""
"2008","Finland","Million euro","Current health care expenditure (CHE)","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)","2,566.58",""
"2008","Finland","Million euro","Current health care expenditure (CHE)","Voluntary health care payment schemes","656.55",""
"2008","Sweden","Million euro","Current health care expenditure (CHE)","All financing schemes","29,288.42",""
"2008","Sweden","Million euro","Current health care expenditure (CHE)","Government schemes and compulsory contributory health care financing schemes","23,974.75",""
"2008","Sweden","Million euro","Current health care expenditure (CHE)","Government schemes","23,974.75",""
"2008","Sweden","Million euro","Current health care expenditure (CHE)","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)","0",""
"2008","Sweden","Million euro","Current health care expenditure (CHE)","Voluntary health care payment schemes","357.97",""
"2008","United Kingdom","Million euro","Current health care expenditure (CHE)","All financing schemes",":",""
"2008","United Kingdom","Million euro","Current health care expenditure (CHE)","Government schemes and compulsory contributory health care financing schemes",":",""
"2008","United Kingdom","Million euro","Current health care expenditure (CHE)","Government schemes",":",""
"2008","United Kingdom","Million euro","Current health care expenditure (CHE)","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",":",""
"2008","United Kingdom","Million euro","Current health care expenditure (CHE)","Voluntary health care payment schemes",":",""
"2008","Iceland","Million euro","Current health care expenditure (CHE)","All financing schemes",":",""
"2008","Iceland","Million euro","Current health care expenditure (CHE)","Government schemes and compulsory contributory health care financing schemes",":",""
"2008","Iceland","Million euro","Current health care expenditure (CHE)","Government schemes",":",""
"2008","Iceland","Million euro","Current health care expenditure (CHE)","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",":",""
"2008","Iceland","Million euro","Current health care expenditure (CHE)","Voluntary health care payment schemes",":",""
"2008","Liechtenstein","Million euro","Current health care expenditure (CHE)","All financing schemes",":",""
"2008","Liechtenstein","Million euro","Current health care expenditure (CHE)","Government schemes and compulsory contributory health care financing schemes",":",""
"2008","Liechtenstein","Million euro","Current health care expenditure (CHE)","Government schemes",":",""
"2008","Liechtenstein","Million euro","Current health care expenditure (CHE)","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",":",""
"2008","Liechtenstein","Million euro","Current health care expenditure (CHE)","Voluntary health care payment schemes",":",""
"2008","Norway","Million euro","Current health care expenditure (CHE)","All financing schemes",":",""
"2008","Norway","Million euro","Current health care expenditure (CHE)","Government schemes and compulsory contributory health care financing schemes",":",""
"2008","Norway","Million euro","Current health care expenditure (CHE)","Government schemes",":",""
"2008","Norway","Million euro","Current health care expenditure (CHE)","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",":",""
"2008","Norway","Million euro","Current health care expenditure (CHE)","Voluntary health care payment schemes",":",""
"2008","Switzerland","Million euro","Current health care expenditure (CHE)","All financing schemes",":",""
"2008","Switzerland","Million euro","Current health care expenditure (CHE)","Government schemes and compulsory contributory health care financing schemes",":",""
"2008","Switzerland","Million euro","Current health care expenditure (CHE)","Government schemes",":",""
"2008","Switzerland","Million euro","Current health care expenditure (CHE)","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",":",""
"2008","Switzerland","Million euro","Current health care expenditure (CHE)","Voluntary health care payment schemes",":",""
"2008","Bosnia and Herzegovina","Million euro","Current health care expenditure (CHE)","All financing schemes",":",""
"2008","Bosnia and Herzegovina","Million euro","Current health care expenditure (CHE)","Government schemes and compulsory contributory health care financing schemes",":",""
"2008","Bosnia and Herzegovina","Million euro","Current health care expenditure (CHE)","Government schemes",":",""
"2008","Bosnia and Herzegovina","Million euro","Current health care expenditure (CHE)","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",":",""
"2008","Bosnia and Herzegovina","Million euro","Current health care expenditure (CHE)","Voluntary health care payment schemes",":",""
"2009","European Union - 27 countries (from 2020)","Million euro","Current health care expenditure (CHE)","All financing schemes",":",""
"2009","European Union - 27 countries (from 2020)","Million euro","Current health care expenditure (CHE)","Government schemes and compulsory contributory health care financing schemes",":",""
"2009","European Union - 27 countries (from 2020)","Million euro","Current health care expenditure (CHE)","Government schemes",":",""
"2009","European Union - 27 countries (from 2020)","Million euro","Current health care expenditure (CHE)","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",":",""
"2009","European Union - 27 countries (from 2020)","Million euro","Current health care expenditure (CHE)","Voluntary health care payment schemes",":",""
"2009","European Union - 28 countries (2013-2020)","Million euro","Current health care expenditure (CHE)","All financing schemes",":",""
"2009","European Union - 28 countries (2013-2020)","Million euro","Current health care expenditure (CHE)","Government schemes and compulsory contributory health care financing schemes",":",""
"2009","European Union - 28 countries (2013-2020)","Million euro","Current health care expenditure (CHE)","Government schemes",":",""
"2009","European Union - 28 countries (2013-2020)","Million euro","Current health care expenditure (CHE)","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",":",""
"2009","European Union - 28 countries (2013-2020)","Million euro","Current health care expenditure (CHE)","Voluntary health care payment schemes",":",""
"2009","European Union - 27 countries (2007-2013)","Million euro","Current health care expenditure (CHE)","All financing schemes",":",""
"2009","European Union - 27 countries (2007-2013)","Million euro","Current health care expenditure (CHE)","Government schemes and compulsory contributory health care financing schemes",":",""
"2009","European Union - 27 countries (2007-2013)","Million euro","Current health care expenditure (CHE)","Government schemes",":",""
"2009","European Union - 27 countries (2007-2013)","Million euro","Current health care expenditure (CHE)","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",":",""
"2009","European Union - 27 countries (2007-2013)","Million euro","Current health care expenditure (CHE)","Voluntary health care payment schemes",":",""
"2009","European Union - 15 countries (1995-2004)","Million euro","Current health care expenditure (CHE)","All financing schemes",":",""
"2009","European Union - 15 countries (1995-2004)","Million euro","Current health care expenditure (CHE)","Government schemes and compulsory contributory health care financing schemes",":",""
"2009","European Union - 15 countries (1995-2004)","Million euro","Current health care expenditure (CHE)","Government schemes",":",""
"2009","European Union - 15 countries (1995-2004)","Million euro","Current health care expenditure (CHE)","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",":",""
"2009","European Union - 15 countries (1995-2004)","Million euro","Current health care expenditure (CHE)","Voluntary health care payment schemes",":",""
"2009","Euro area - 19 countries  (from 2015)","Million euro","Current health care expenditure (CHE)","All financing schemes",":",""
"2009","Euro area - 19 countries  (from 2015)","Million euro","Current health care expenditure (CHE)","Government schemes and compulsory contributory health care financing schemes",":",""
"2009","Euro area - 19 countries  (from 2015)","Million euro","Current health care expenditure (CHE)","Government schemes",":",""
"2009","Euro area - 19 countries  (from 2015)","Million euro","Current health care expenditure (CHE)","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",":",""
"2009","Euro area - 19 countries  (from 2015)","Million euro","Current health care expenditure (CHE)","Voluntary health care payment schemes",":",""
"2009","Euro area - 18 countries (2014)","Million euro","Current health care expenditure (CHE)","All financing schemes",":",""
"2009","Euro area - 18 countries (2014)","Million euro","Current health care expenditure (CHE)","Government schemes and compulsory contributory health care financing schemes",":",""
"2009","Euro area - 18 countries (2014)","Million euro","Current health care expenditure (CHE)","Government schemes",":",""
"2009","Euro area - 18 countries (2014)","Million euro","Current health care expenditure (CHE)","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",":",""
"2009","Euro area - 18 countries (2014)","Million euro","Current health care expenditure (CHE)","Voluntary health care payment schemes",":",""
"2009","Euro area - 12 countries (2001-2006)","Million euro","Current health care expenditure (CHE)","All financing schemes",":",""
"2009","Euro area - 12 countries (2001-2006)","Million euro","Current health care expenditure (CHE)","Government schemes and compulsory contributory health care financing schemes",":",""
"2009","Euro area - 12 countries (2001-2006)","Million euro","Current health care expenditure (CHE)","Government schemes",":",""
"2009","Euro area - 12 countries (2001-2006)","Million euro","Current health care expenditure (CHE)","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",":",""
"2009","Euro area - 12 countries (2001-2006)","Million euro","Current health care expenditure (CHE)","Voluntary health care payment schemes",":",""
"2009","Belgium","Million euro","Current health care expenditure (CHE)","All financing schemes","35,349.09",""
"2009","Belgium","Million euro","Current health care expenditure (CHE)","Government schemes and compulsory contributory health care financing schemes","27,502.09",""
"2009","Belgium","Million euro","Current health care expenditure (CHE)","Government schemes","4,009.45",""
"2009","Belgium","Million euro","Current health care expenditure (CHE)","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)","23,492.64",""
"2009","Belgium","Million euro","Current health care expenditure (CHE)","Voluntary health care payment schemes","1,427.17",""
"2009","Bulgaria","Million euro","Current health care expenditure (CHE)","All financing schemes",":",""
"2009","Bulgaria","Million euro","Current health care expenditure (CHE)","Government schemes and compulsory contributory health care financing schemes",":",""
"2009","Bulgaria","Million euro","Current health care expenditure (CHE)","Government schemes",":",""
"2009","Bulgaria","Million euro","Current health care expenditure (CHE)","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",":",""
"2009","Bulgaria","Million euro","Current health care expenditure (CHE)","Voluntary health care payment schemes",":",""
"2009","Czechia","Million euro","Current health care expenditure (CHE)","All financing schemes",":",""
"2009","Czechia","Million euro","Current health care expenditure (CHE)","Government schemes and compulsory contributory health care financing schemes",":",""
"2009","Czechia","Million euro","Current health care expenditure (CHE)","Government schemes",":",""
"2009","Czechia","Million euro","Current health care expenditure (CHE)","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",":",""
"2009","Czechia","Million euro","Current health care expenditure (CHE)","Voluntary health care payment schemes",":",""
"2009","Denmark","Million euro","Current health care expenditure (CHE)","All financing schemes",":",""
"2009","Denmark","Million euro","Current health care expenditure (CHE)","Government schemes and compulsory contributory health care financing schemes",":",""
"2009","Denmark","Million euro","Current health care expenditure (CHE)","Government schemes",":",""
"2009","Denmark","Million euro","Current health care expenditure (CHE)","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",":",""
"2009","Denmark","Million euro","Current health care expenditure (CHE)","Voluntary health care payment schemes",":",""
"2009","Germany (until 1990 former territory of the FRG)","Million euro","Current health care expenditure (CHE)","All financing schemes","274,071.00",""
"2009","Germany (until 1990 former territory of the FRG)","Million euro","Current health care expenditure (CHE)","Government schemes and compulsory contributory health care financing schemes","228,999.00",""
"2009","Germany (until 1990 former territory of the FRG)","Million euro","Current health care expenditure (CHE)","Government schemes","18,740.00",""
"2009","Germany (until 1990 former territory of the FRG)","Million euro","Current health care expenditure (CHE)","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)","210,259.00",""
"2009","Germany (until 1990 former territory of the FRG)","Million euro","Current health care expenditure (CHE)","Voluntary health care payment schemes","7,237.00",""
"2009","Estonia","Million euro","Current health care expenditure (CHE)","All financing schemes","925.55",""
